decoy                                  RMSD         CONTACT      R_GYRATION       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy2_14_A_AMBER_minimized.pdb       5.8400    -39.0000000      49.7741438      -0.1522716   10106.6471000      50.8315000     512.4587000     990.3762000   -1994.1782000    -802.0136000      28.5289000     154.6118000    -177.8052000 
decoy25_11_A_AMBER_minimized.pdb      3.8100    -49.0000000      23.6813724      -0.1592014   10113.6396000      83.4102000     532.0848000    1023.7005000   -2041.0767000    -799.4982000      31.5546000     151.3664000    -120.6261000 
decoy1_16_A_AMBER_minimized.pdb       2.6400    -51.0000000      10.1544960      -0.1443263   10115.8481000      88.3987000     515.3392000     984.7894000   -1848.7426000    -933.6790000      32.1936000     157.0697000    -132.8012000 
decoy59_48_A_AMBER_minimized.pdb      6.8200    -43.0000000      34.1665513      -0.1144062   10115.3710000      54.4233000     517.3816000    1016.5959000   -1775.0029000    -991.6751000      32.3383000     165.7209000    -144.9496000 
decoy26_133_A_AMBER_minimized.pdb     9.9900    -23.0000000      55.9181401      -0.1102065   10116.1139000      96.0001000     489.6287000    1011.2365000   -1916.3537000    -886.0111000      29.1243000     169.8868000    -118.0398000 
decoy34_129_A_AMBER_minimized.pdb    10.7000    -30.0000000      66.5362209      -0.1083754   10116.2337000      62.5137000     479.0360000    1051.0035000   -1688.3064000   -1111.3249000      33.4186000     170.4967000    -113.7652000 
decoy29_4_A_AMBER_minimized.pdb       5.8200    -31.0000000      26.8068398      -0.1241392   10111.3984000     112.0650000     492.3919000    1027.8319000   -1744.4591000   -1052.3671000      31.8977000     174.5155000     -90.4631000 
decoy1_18_A_AMBER_minimized.pdb       2.2100    -50.0000000      10.4348696      -0.1276318   10113.2125000      92.1437000     501.2823000     984.8544000   -1732.7640000   -1012.6470000      30.5323000     165.5266000    -149.7299000 
decoy16_28_A_AMBER_minimized.pdb      4.8900    -53.0000000      22.3835045      -0.1679822   10109.2745000      50.8951000     482.0129000    1064.7990000   -1913.5008000    -952.7612000      31.1015000     155.4459000    -181.5858000 
decoy19_19_A_AMBER_minimized.pdb      5.5300    -49.0000000      28.4893400      -0.1080137   10111.5172000      78.2206000     518.4368000     975.6631000   -1665.5411000   -1059.4931000      28.1557000     160.7070000    -166.4471000 
decoy21_92_A_AMBER_minimized.pdb      8.5000    -35.0000000      24.3002219      -0.1515629   10114.6016000      91.4970000     547.8654000    1049.3559000   -1780.9903000   -1060.9152000      32.6143000     153.0654000    -116.7296000 
decoy24_14_A_AMBER_minimized.pdb      3.9600    -48.0000000      21.3558143      -0.1278598   10105.7475000      58.4290000     470.8838000    1017.4624000   -1980.9790000    -860.2879000      30.3588000     148.8805000    -151.4852000 
decoy24_4_A_AMBER_minimized.pdb       2.7500    -45.0000000      25.1418366      -0.1665380   10104.5093000      62.8675000     526.6223000    1051.1773000   -2025.2409000    -818.1066000      31.8485000     158.4563000    -170.2048000 
decoy59_138_A_AMBER_minimized.pdb     8.5800    -33.0000000      43.8230242      -0.1591772   10127.0631000     132.6760000     529.5562000    1025.1975000   -2023.1739000    -812.3168000      30.1380000     157.5514000     -51.0647000 
decoy58_36_A_AMBER_minimized.pdb      8.0000    -37.0000000      40.7892705      -0.1093824   10109.2112000      93.1053000     493.4863000    1033.8976000   -1927.4150000    -900.6732000      30.8647000     161.4081000    -107.4538000 
decoy41_139_A_AMBER_minimized.pdb    10.5400    -30.0000000      14.3081117      -0.0857040   10121.1010000      62.3173000     522.2462000    1035.4066000   -1951.5463000    -887.9737000      31.3407000     159.4697000     -82.6601000 
decoy36_163_A_AMBER_minimized.pdb    11.0000    -17.0000000      23.7120599      -0.1856319   10153.5199000     129.7131000     530.4316000     998.4903000   -1881.2972000    -898.5453000      28.2957000     162.5589000    -125.6889000 
decoy33_147_A_AMBER_minimized.pdb     7.1800    -49.0000000      33.0349126      -0.1212239   10119.7909000      88.0598000     498.1833000    1014.0827000   -1897.3219000    -908.7639000      31.7907000     173.3424000     -99.9426000 
